ID,user,movie,rating
0,0,0,3
1,1,1,4
2,2,2,3
3,3,3,4
4,4,4,5
5,5,5,4
6,6,6,5
7,7,7,5
8,8,8,4
9,9,9,5
10,10,10,3
11,11,11,5
12,12,12,5
13,13,13,5
14,14,14,4
15,15,15,5
16,16,16,1
17,17,17,3
18,18,18,4
19,19,19,3
20,20,20,5
21,21,21,3
22,22,22,5
23,23,23,3
24,24,24,5
25,25,25,5
26,26,26,3
27,27,27,5
28,28,28,4
29,29,29,4
30,30,30,5
31,31,31,4
32,32,32,5
33,33,33,5
34,34,34,1
35,35,35,5
36,36,36,5
37,37,37,5
38,38,38,5
39,39,39,5
40,40,40,5
41,41,41,5
42,42,42,1
43,43,43,5
44,44,44,3
45,45,45,5
46,46,46,5
47,47,47,3
48,48,48,3
49,49,49,5
50,50,50,5
51,51,51,3
52,52,52,3
53,53,53,4
54,54,54,5
55,55,55,5
56,56,56,4
57,57,57,5
58,58,58,3
59,59,59,4
60,60,60,5
61,61,61,2
62,62,62,5
63,63,63,5
64,64,64,4
65,65,65,5
66,66,66,5
67,67,67,5
68,68,68,5
69,69,69,5
70,70,70,3
71,71,71,5
72,72,72,5
73,73,73,3
74,74,74,5
75,75,75,5
76,76,76,4
77,77,77,5
78,78,78,3
79,79,79,3
80,80,80,5
81,81,81,5
82,82,82,5
83,83,83,5
84,84,84,5
85,85,85,5
86,86,86,5
87,87,87,4
88,88,88,5
89,89,89,5
90,90,90,5
91,91,91,5
92,92,92,3
93,93,93,5
94,94,94,5
95,95,95,5
96,96,96,4
97,97,97,3
98,98,98,4
99,99,99,5
100,100,100,5
101,101,101,5
102,102,102,5
103,103,103,4
104,104,104,3
105,105,105,3
106,106,106,5
107,107,107,4
108,108,108,5
109,109,109,5
110,110,110,3
111,111,111,3
112,112,112,5
113,113,113,5
114,114,114,2
115,115,27,4
116,116,115,5
117,117,116,5
118,118,117,4
119,119,118,4
120,120,119,5
121,121,120,5
122,122,121,5
123,123,122,5
124,124,123,5
125,125,124,5
126,126,125,5
127,127,126,4
128,128,127,5
129,129,128,4
130,130,129,5
131,131,130,5
132,132,131,4
133,133,132,4
134,134,133,5
135,68,134,5
136,135,135,3
137,136,136,5
138,137,137,5
139,138,138,5
140,139,139,5
141,140,140,5
142,141,141,3
143,142,142,5
144,143,143,5
145,144,144,5
146,145,145,5
147,146,146,5
148,147,147,5
149,148,148,5
150,149,149,5
151,150,150,5
152,151,151,4
153,152,152,4
154,153,153,3
155,154,154,5
156,155,155,3
157,156,156,3
158,157,157,5
159,158,158,5
160,159,159,3
161,160,160,5
162,161,161,2
163,162,162,5
164,163,163,5
165,164,164,5
166,165,165,3
167,166,166,4
168,167,167,5
169,168,168,4
170,169,169,5
171,170,170,4
172,171,171,5
173,172,172,5
174,173,173,5
175,174,174,5
176,175,175,5
177,176,176,5
178,177,177,5
179,178,178,5
180,179,133,5
181,180,179,5
182,181,180,5
183,182,181,4
184,183,182,5
185,184,183,5
186,185,184,5
187,186,185,2
188,187,186,5
189,188,187,5
190,189,188,3
191,190,189,3
192,191,190,4
193,192,191,3
194,193,192,5
195,194,193,5
196,195,194,2
197,196,195,3
198,197,196,5
199,198,197,5
200,199,198,5
201,200,199,5
202,201,46,5
203,202,200,5
204,203,201,4
205,204,202,4
206,205,203,5
207,206,204,5
208,207,205,5
209,208,206,5
210,209,207,5
211,210,208,4
212,211,209,5
213,212,210,4
214,213,211,5
215,214,212,5
216,215,213,5
217,216,214,5
218,217,215,4
219,218,216,4
220,219,217,5
221,220,218,3
222,221,219,5
223,222,220,4
224,223,221,5
225,224,222,5
226,225,223,4
227,226,224,4
228,227,225,5
229,228,226,5
230,229,227,5
231,230,228,4
232,231,229,5
233,232,230,4
234,233,231,5
235,234,232,5
236,235,233,5
237,236,234,4
238,237,235,3
239,238,236,5
240,239,237,4
241,240,238,5
242,241,239,5
243,242,240,5
244,243,241,5
245,244,242,5
246,245,243,1
247,246,244,1
248,247,245,1
249,248,246,5
250,249,247,5
251,250,248,5
252,251,249,5
253,252,250,3
254,253,251,5
255,254,252,2
256,255,253,5
257,256,254,5
258,257,238,3
259,258,255,5
260,259,256,2
261,260,257,1
262,261,258,4
263,262,259,2
264,263,260,3
265,264,261,5
266,265,262,5
267,266,135,3
268,267,263,2
269,268,264,5
270,269,265,5
271,270,266,5
272,271,267,5
273,272,268,5
274,273,62,5
275,274,269,5
276,275,270,4
277,276,271,5
278,277,272,3
279,278,273,5
280,279,274,5
281,280,275,5
282,281,276,4
283,282,277,5
284,283,278,5
285,284,279,3
286,285,280,5
287,286,281,4
288,287,282,4
289,288,283,2
290,289,190,5
291,290,284,4
292,291,285,5
293,292,286,5
294,293,287,5
295,294,288,5
296,295,289,5
297,296,290,4
298,297,291,5
299,298,292,1
300,299,293,5
301,300,294,5
302,301,295,3
303,302,296,5
304,303,297,1
305,304,298,4
306,305,299,5
307,306,300,5
308,307,301,5
309,308,302,4
310,309,303,5
311,310,304,4
312,311,305,4
313,312,306,5
314,313,307,5
315,314,308,5
316,315,309,2
317,316,310,5
318,317,311,1
319,318,312,5
320,319,313,5
321,320,314,3
322,321,241,5
323,322,315,5
324,323,316,5
325,324,317,5
326,325,318,5
327,326,319,5
328,327,320,5
329,328,321,4
330,329,322,5
331,330,323,3
332,331,324,3
333,332,325,3
334,333,326,5
335,334,327,4
336,335,328,4
337,336,329,3
338,337,330,5
339,338,331,4
340,339,332,5
341,340,333,3
342,341,334,4
343,342,335,5
344,343,336,3
345,344,337,1
346,345,338,3
347,346,339,3
348,347,340,4
349,348,341,5
350,349,342,5
351,350,343,5
352,351,344,4
353,352,345,3
354,353,346,5
355,354,347,5
356,355,348,5
357,356,349,5
358,357,350,5
359,358,351,5
360,359,352,5
361,360,353,5
362,190,354,4
363,361,335,4
364,362,355,4
365,363,356,5
366,364,357,5
367,365,358,4
368,366,359,5
369,367,360,4
370,368,361,5
371,369,362,5
372,370,363,5
373,371,364,5
374,372,365,2
375,373,366,5
376,374,367,5
377,375,368,2
378,376,369,4
379,377,370,5
380,378,371,5
381,379,372,4
382,380,373,5
383,381,374,3
384,382,375,5
385,383,376,5
386,384,377,3
387,385,378,5
388,386,379,5
389,387,380,4
390,388,381,5
391,389,382,5
392,390,383,5
393,391,384,5
394,392,385,1
395,393,386,1
396,394,387,5
397,395,388,4
398,396,389,3
399,397,390,4
400,398,391,4
401,399,392,5
402,400,393,5
403,401,394,5
404,402,395,5
405,403,396,5
406,404,397,1
407,405,398,1
408,406,399,5
409,407,400,5
410,408,401,2
411,409,402,5
412,410,403,4
413,411,404,5
414,412,405,5
415,413,406,1
416,414,407,5
417,415,408,5
418,416,409,5
419,417,410,2
420,418,411,4
421,419,412,5
422,420,413,5
423,421,414,2
424,422,415,3
425,423,416,5
426,424,417,3
427,425,418,5
428,426,419,3
429,427,420,5
430,428,421,5
431,429,422,5
432,430,423,4
433,431,424,5
434,432,425,3
435,433,426,5
436,434,427,5
437,435,428,4
438,436,429,5
439,437,430,5
440,438,431,5
441,439,229,5
442,440,432,5
443,441,433,1
444,442,434,5
445,443,435,5
446,444,436,5
447,445,437,3
448,446,438,3
449,447,439,3
450,448,440,5
451,449,441,2
452,450,442,5
453,451,443,5
454,452,337,3
455,453,444,4
456,454,445,3
457,455,446,4
458,456,447,5
459,457,448,5
460,458,449,5
461,459,450,5
462,460,451,5
463,461,452,4
464,462,5,4
465,463,453,5
466,464,454,3
467,465,455,5
468,466,456,1
469,467,457,5
470,468,458,5
471,469,359,4
472,470,459,5
473,471,160,3
474,472,452,5
475,473,460,5
476,474,461,1
477,475,369,5
478,476,462,5
479,477,463,5
480,478,464,5
481,479,465,1
482,480,466,5
483,481,467,5
484,482,468,5
485,483,469,5
486,484,470,5
487,485,471,1
488,486,472,2
489,487,473,5
490,488,474,5
491,489,475,4
492,490,476,4
493,491,477,3
494,492,478,4
495,493,479,4
496,494,480,5
497,495,481,4
498,496,482,2
499,497,483,5
500,498,484,5
501,499,485,3
502,500,486,5
503,501,487,5
504,502,488,5
505,503,489,5
506,504,490,5
507,505,243,5
508,90,491,5
509,506,492,5
510,507,493,5
511,508,494,5
512,509,495,3
513,510,496,1
514,511,497,5
515,512,498,4
516,513,499,5
517,514,500,5
518,515,501,5
519,516,502,5
520,517,503,5
521,518,504,5
522,519,505,5
523,520,506,5
524,521,507,3
525,522,508,5
526,523,509,5
527,524,510,4
528,525,511,5
529,526,512,5
530,527,513,4
531,528,514,3
532,529,515,2
533,262,516,2
534,530,517,5
535,531,518,5
536,532,335,5
537,533,519,4
538,534,520,5
539,535,521,4
540,536,522,5
541,537,523,2
542,538,524,3
543,539,525,5
544,540,526,5
545,541,527,5
546,542,528,4
547,543,529,4
548,544,530,5
549,545,531,4
550,546,532,5
551,547,533,4
552,548,534,4
553,549,535,5
554,550,536,5
555,551,537,5
556,552,538,5
557,553,539,5
558,554,540,5
559,555,541,5
560,556,542,5
561,557,543,5
562,558,544,5
563,559,545,5
564,560,546,4
565,561,547,1
566,562,548,4
567,563,549,4
568,564,550,4
569,565,551,2
570,566,552,3
571,567,553,5
572,568,554,4
573,569,555,4
574,570,556,5
575,571,557,5
576,572,558,5
577,573,559,4
578,28,560,5
579,574,561,4
580,575,562,4
581,576,563,5
582,577,564,5
583,578,565,5
584,579,566,5
585,580,567,3
586,581,568,4
587,582,569,5
588,583,570,4
589,584,571,3
590,585,572,5
591,586,573,5
592,587,574,5
593,588,575,5
594,589,576,5
595,590,577,4
596,591,578,3
597,592,579,5
598,593,544,5
599,594,580,5
600,595,581,1
601,596,582,5
602,597,583,5
603,598,584,1
604,599,585,5
605,600,586,5
606,601,587,2
607,602,588,5
608,603,589,3
609,604,590,2
610,605,591,3
611,606,592,3
612,607,593,3
613,608,594,5
614,609,595,5
615,610,417,5
616,611,596,4
617,612,597,5
618,613,439,5
619,614,598,5
620,615,599,4
621,616,452,5
622,617,600,5
623,618,601,1
624,619,602,5
625,620,603,3
626,621,604,5
627,622,554,5
628,623,605,3
629,624,606,5
630,625,607,4
631,626,608,1
632,627,609,5
633,628,610,1
634,629,604,5
635,630,121,5
636,631,611,4
637,632,612,4
638,633,613,5
639,634,614,5
640,635,615,3
641,636,616,5
642,637,617,4
643,638,618,5
644,639,619,3
645,640,620,3
646,641,571,1
647,642,621,4
648,643,622,4
649,644,623,5
650,645,624,5
651,646,625,4
652,647,626,5
653,648,627,4
654,649,628,5
655,410,629,2
656,650,630,2
657,651,631,4
658,652,632,1
659,653,633,5
660,654,634,5
661,655,635,5
662,656,636,4
663,657,637,4
664,658,638,5
665,659,639,5
666,660,640,2
667,661,641,5
668,662,642,1
669,663,643,5
670,664,644,5
671,665,645,3
672,666,646,5
673,667,647,2
674,668,648,5
675,669,649,5
676,670,650,5
677,671,651,3
678,672,652,3
679,182,653,3
680,673,232,5
681,497,654,5
682,674,655,5
683,675,656,5
684,676,657,1
685,677,658,3
686,678,553,5
687,679,659,4
688,680,660,5
689,681,661,2
690,682,662,3
691,683,657,3
692,684,663,3
693,685,399,2
694,686,5,1
695,687,664,4
696,688,665,5
697,689,666,4
698,690,667,1
699,691,565,5
700,692,668,5
701,693,669,4
702,694,670,2
703,695,671,4
704,696,672,4
705,697,673,5
706,698,674,5
707,699,675,5
708,700,676,5
709,701,677,5
710,702,678,5
711,703,679,3
712,704,680,4
713,705,681,4
714,706,682,4
715,707,207,4
716,708,683,3
717,709,684,5
718,710,685,3
719,711,686,4
720,712,687,5
721,713,688,3
722,714,689,4
723,715,690,5
724,716,691,2
725,717,692,3
726,718,693,4
727,719,409,4
728,720,694,4
729,721,695,4
730,722,696,5
731,723,697,5
732,724,698,5
733,725,699,4
734,726,700,3
735,727,701,4
736,728,702,2
737,729,703,2
738,730,704,5
739,731,705,5
740,732,706,5
741,733,707,5
742,734,708,2
